year,country,pivotal1,pivotal2,pivotal3,pivotal4,pivotal5,pivotal6
1999,LUX,48.89,56.71,37.16,64.86,30.49,45.91
1999,LVA,24.39,25.34,22.96,47.4,17.11,24.12
1999,MAR,37.83,38.51,36.81,54.07,30.14,37.65
1999,MEX,71.98,73.8,69.26,76.95,64.35,71.49
1999,MLT,25.66,27.78,22.47,48.57,16.67,24.98
1999,MMR,19.05,18.82,19.39,44.41,13.97,19.1
1999,MYS,60.86,68.46,49.45,72.95,42.95,58.18
1999,NGA,45.83,50.31,39.12,60.84,32.42,44.36
1999,NLD,75.76,79.13,70.71,81.16,65.97,74.8
1999,NOR,62.75,67.39,55.78,72.17,49.63,61.31
1999,NZL,45.05,45.97,43.67,58.26,37.0,44.81
1999,PAK,38.1,38.52,37.47,54.07,30.79,37.99
1999,PER,38.37,39.71,36.37,54.72,29.71,38.0
1999,PHL,52.17,52.94,51.02,62.46,44.6,51.97
1999,POL,56.72,57.59,55.42,65.44,49.25,56.49
1999,PRT,54.16,53.02,55.86,62.51,49.72,54.42
1999,ROU,36.8,38.28,34.58,53.95,27.96,36.38
1999,RUS,66.32,70.76,59.65,74.65,53.79,64.97
1999,SAU,64.82,69.17,58.3,73.47,52.34,63.5
1999,SEN,16.4,16.64,16.03,43.45,11.12,16.33
1999,SGP,61.99,67.97,53.03,72.59,46.71,60.04
1999,SVK,38.14,39.93,35.45,54.84,28.81,37.62
1999,SVN,37.61,38.89,35.7,54.28,29.05,37.26
1999,SWE,68.4,71.75,63.38,75.39,57.86,67.44
1999,THA,60.57,64.81,54.21,70.34,47.96,59.27
1999,TUN,33.75,34.15,33.14,51.76,26.57,33.64
1999,TUR,57.14,58.0,55.86,65.7,49.72,56.92
1999,TWN,72.27,76.45,66.01,79.02,60.75,71.04
1999,UKR,38.79,45.24,29.12,57.83,22.75,36.3
1999,USA,100.0,100.0,100.0,100.0,100.0,100.0
1999,VNM,42.36,44.73,38.8,57.54,32.11,41.66
